(Modified dat file) 
1.000000   0.000000   0.200000    3.670000   0.420000     0.000000  
1.000000   0.000000   0.400000    3.040000   0.510000     0.000000  
1.000000   0.000000   0.600000    3.420000   0.530000     0.000000  
1.000000   0.000000   0.800000    3.650000   0.600000     0.000000  
1.000000   0.000000   1.005000    3.250000   0.620000     0.000000  
1.000000   0.000000   1.200000    3.190000   0.680000     0.000000  
1.000000   0.000000   1.400000    2.130000   0.910000     0.000000  
1.000000   0.000000   1.600000    1.000000   5.000000     0.000000  
1.000000   0.000000   1.800000    1.000000   5.000000     0.000000  
1.000000   0.000000   2.005000    6.180000   0.850000     0.000000  
1.000000   0.000000   2.200000    5.300000   0.890000     0.000000  
1.000000   0.000000   2.400000    5.520000   0.910000     0.000000  
1.000000   0.000000   2.600000    4.140000   1.020000     0.000000  
1.000000   1.000000   -2.600000    64.129997   6.420000     2.000000  
1.000000   1.000000   -2.500000    69.080002   6.920000     2.000000  
1.000000   1.000000   -2.400000    72.669998   7.280000     2.000000  
1.000000   1.000000   -2.300000    77.809998   7.790000     2.000000  
1.000000   1.000000   -2.200000    81.480003   8.160000     2.000000  
1.000000   1.000000   -2.050000    90.519997   9.060000     2.000000  
1.000000   1.000000   -1.700000    114.089996   11.410000     2.000000  
1.000000   1.000000   -1.500000    133.149994   13.320000     2.000000  
1.000000   1.000000   -1.400000    157.080002   15.710000     2.000000  
1.000000   1.000000   -1.300000    171.529999   17.160000     2.000000  
1.000000   1.000000   -1.200000    273.630005   27.370001     2.000000  
1.000000   1.000000   -0.900000    250.589996   25.059999     2.000000  
1.000000   1.000000   -0.800000    149.520004   14.960000     2.000000  
1.000000   1.000000   -0.700000    96.070000   9.620000     2.000000  
1.000000   1.000000   -0.600000    82.070000   8.210000     2.000000  
1.000000   1.000000   -0.500000    75.889999   7.600000     2.000000  
1.000000   1.000000   -0.400000    80.050003   8.010000     2.000000  
1.000000   1.000000   -0.300000    78.379997   7.850000     2.000000  
1.000000   1.000000   -0.200000    92.029999   9.210000     2.000000  
1.000000   1.000000   0.200000    87.750000   8.780000     2.000000  
1.000000   1.000000   0.300000    84.849998   8.490000     2.000000  
1.000000   1.000000   0.400000    81.400002   8.150000     2.000000  
1.000000   1.000000   0.500000    87.629997   8.770000     2.000000  
1.000000   1.000000   0.600000    92.580002   9.260000     2.000000  
1.000000   1.000000   0.700000    93.410004   9.340000     2.000000  
1.000000   1.000000   0.800000    94.269997   9.430000     2.000000  
1.000000   1.000000   0.900000    101.099998   10.110000     2.000000  
1.000000   1.000000   0.980000    109.639999   10.970000     2.000000  
1.000000   1.000000   1.100000    106.930000   10.700000     2.000000  
1.000000   1.000000   1.200000    111.400002   11.140000     2.000000  
1.000000   1.000000   1.300000    114.040001   11.410000     2.000000  
1.000000   1.000000   1.400000    122.949997   12.300000     2.000000  
1.000000   1.000000   1.500000    130.020004   13.000000     2.000000  
1.000000   1.000000   1.700000    167.880005   16.790001     2.000000  
1.000000   1.000000   1.800000    214.970001   21.500000     2.000000  
1.000000   1.000000   2.200000    163.970001   16.400000     2.000000  
1.000000   1.000000   2.300000    104.370003   10.450000     2.000000  
1.000000   1.000000   2.400000    86.360001   8.650000     2.000000  
1.000000   1.000000   2.500000    79.489998   7.960000     2.000000  
1.000000   1.000000   2.600000    75.919998   7.600000     2.000000  
2.000000   0.000000   0.200000    5.150000   1.110000     0.000000  
2.000000   1.000000   -0.200000    7.200000   1.610000     1.000000  
2.000000   1.000000   0.200000    5.640000   1.820000     1.000000  
2.000000   2.000000   -2.500000    42.880001   4.570000     1.000000  
2.000000   2.000000   -2.300000    82.989998   8.410000     1.000000  
2.000000   2.000000   -1.900000    228.279999   30.000000     1.000000  
2.000000   2.000000   -1.700000    100.110001   10.080000     1.000000  
2.000000   2.000000   -1.500000    79.669998   8.040000     1.000000  
2.000000   2.000000   -1.300000    74.570000   7.520000     1.000000  
2.000000   2.000000   -1.100000    72.750000   7.330000     1.000000  
2.000000   2.000000   -0.900000    68.160004   6.870000     1.000000  
2.000000   2.000000   -0.700000    66.830002   6.740000     1.000000  
2.000000   2.000000   -0.500000    64.019997   6.450000     1.000000  
2.000000   2.000000   -0.300000    62.049999   6.260000     1.000000  
2.000000   2.000000   -0.200000    64.769997   6.510000     1.000000  
2.000000   2.000000   0.200000    54.919998   5.560000     1.000000  
2.000000   2.000000   0.300000    56.889999   5.750000     1.000000  
2.000000   2.000000   0.500000    57.650002   5.870000     1.000000  
2.000000   2.000000   0.700000    73.930000   7.510000     1.000000  
2.000000   2.000000   1.300000    162.970001   16.330000     1.000000  
2.000000   2.000000   1.500000    108.480003   10.900000     1.000000  
2.000000   2.000000   1.700000    89.730003   9.020000     1.000000  
2.000000   2.000000   1.900000    79.339996   7.990000     1.000000  
2.000000   2.000000   2.100000    68.550003   6.920000     1.000000  
2.000000   2.000000   2.300000    63.290001   6.390000     1.000000  
2.000000   2.000000   2.500000    54.740002   5.560000     1.000000  
3.000000   0.000000   0.400000    74.320000   7.500000     0.000000  
3.000000   0.000000   0.500000    53.349998   5.390000     0.000000  
3.000000   0.000000   0.600000    43.290001   4.480000     0.000000  
3.000000   0.000000   0.700000    36.720001   3.780000     0.000000  
3.000000   0.000000   0.800000    33.169998   3.530000     0.000000  
3.000000   0.000000   0.900000    30.459999   3.300000     0.000000  
3.000000   0.000000   1.100000    27.440001   3.030000     0.000000  
3.000000   0.000000   1.300000    27.160000   2.990000     0.000000  
3.000000   0.000000   1.500000    30.910000   3.290000     0.000000  
